Num.,Nome completo,E-mail,Telefone,Área,Idioma de interesse,Leva,Modelo de aula,Resultado nivelamento,Data Nivelamento,Nivel Recente,Data que o Lingopass deu acesso,Data de Primeiro acesso,A0,A0 AoV,"Tempo de conclusão em dias 
Início Fim",A1,A1 AoV,"Tempo de conclusão em dias 
Início Fim.1",A2,A2 AoV,"Tempo de conclusão em dias 
Início Fim.2",B1,B1 AoV,"Tempo de conclusão em dias 
Início Fim.3",B2,B2 AoV,"Tempo de conclusão em dias 
Início Fim.4",C1,C1 AoV,"Tempo de conclusão em dias 
Início Fim.5",C2,C2 AoV,total progresso,"Tempo de conclusão em dias 
Início Fim.6",Progresso (nível do nivelamento),Progresso (qualquer nível),Média A0,Média A1,Média A2,Média B1,Média B2,Média C1,Média C2,Média total,Primeiro Acesso,Primeiro acesso curso que foi nivelado,Último Acesso,Tempo Total Plataforma,Tempo Total AoV,Tempo Total,tempo plataforma minutos,tempo AOV minutos,tempo total,% plataforma ,Turmas Fixas,Horário,Turno,Tutor,Nativo?,Quantidade Mensagens,Observação,Nome Gestor,Gestor,Empresa,Cancelou,Data de cancelamento,Data que deve perder acesso ,Justificativa,Sobre o curso: Quão satisfeito você ficou com seu curso em geral?,"Recomendação, comentário ou sugestão: Você recomendaria nosso curso? (1 sendo nunca e 10 com certeza)","Recomendação, comentário ou sugestão: Tem alguma sugestão ou comentário que queira nos enviar?"
,Grant Morris,ipham@example.net,,ADM,ESPANHOL,4,AULAS PARTICULARES,A1,14/04/2023,A1,01/04/2023,14/04/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,0%,,"0,00%","0,00%",,,,,,,,,14/04/2023,,25/04/2023,00h 00m,00h 00m,00h 00m,0.0,0.0,0.0,#DIV/0!,Turma 2 -ESP - AULA PARTICULAR - terças e quintas às 18h,Terça e Quinta,Noite,Raul,,,,,jamiegibson@example.com,EMBRAER,,,,,,,
,William Martin,amccoy@example.com,,ADM,ESPANHOL,4,TURMA FLEXÍVEL,A1,14/04/2023,A1,01/04/2023,14/04/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,0%,,"0,00%","0,00%",,,,,,,,,14/04/2023,,14/04/2023,00h 53m,00h 00m,00h 53m,53.0,0.0,53.0,100%,TURMA FLEXÍVEL,FLEX,,,,,,,bonilladavid@example.com,EMBRAER,,,,,,,
,Amanda Moore,stevensonandrea@example.net,,ADM,ESPANHOL,4,TURMA FIXA NATIVO,A1,27/04/2023,A1,01/04/2023,Nunca acessou,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,0%,,"0,00%","0,00%",,,,,,,,,Nunca acessou,,,00h 00m,00h 00m,00h 00m,0.0,0.0,0.0,#DIV/0!,Turma 2 - ESP - BAS - terças e quintas às 9h,Segunda e Quarta,Noite,Catalina,,,,,whiteheidi@example.com,EMBRAER,,,,,,,
2.0,Dwayne Ramirez,thenderson@example.com,,TEC,FRANCÊS,1,TURMA FLEXÍVEL,A2,29/12/2022,B1,01/09/2022,29/12/2022,"100,00%",36.47%,26.0,"100,00%",41.27%,30.0,"100,00%",49.64%,79.0,"23,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,323%,,"100,00%","100,00%","100,00%","96,67%","94,00%","100,00%",-,-,-,"97,67%",29/12/2022,,22/04/2023,77h 11m,19h 26m,96h 38m,4.631,1.166,5.797,80%,Turma flexível,FLEX,FLEX,FLEX,FLEX,3.0,Aluno da turma 1 que não havia feito teste de nivelamento,,jenniferlevine@example.com,EMBRAER,,,,,,,
27.0,Philip Holmes,cheyennehill@example.org,,ADM,INGLÊS,1,TURMA FIXA,B1,26/09/2022,B1,01/09/2022,26/09/2022,"100,00%",0.00%,20.0,"98,00%",0.00%,,"75,00%",0.00%,,"47,00%",125.84%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,320%,,"47,00%","100,00%","96,48%","87,56%","94,17%","76,65%",-,-,-,"88,71%",26/09/2022,,24/04/2023,39h 33m,20h 08m,59h 41m,2.373,1.208,3.581,66%,EN | EMB2 | ADM | INT20,Segundas e quartas às 19h,Noite,Awynner,Brasileiro,10.0,,,emma81@example.com,EMBRAER,,,,,8.0,8,
403.0,Michael Harvey,anthonysosa@example.org,,TEC,INGLÊS,3,TURMA FIXA,A2,09/02/2023,A2,01/02/2023,09/02/2023,"100,00%",0.00%,10.0,"100,00%",58.75%,63.0,"10,00%",11.55%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,210%,,,,"96,88%","86,67%",-,-,-,-,-,"91,77%",09/02/2023,,25/04/2023,33h 52m,11h 14m,45h 06m,2.032,674.0,2.706,75%,EN | EMB3 | TEC | BAS16,Segundas e quartas às 10h,Manhã,Marcela,Brasileiro,2.0,,,paulareed@example.net,EMBRAER,,,,,10.0,10,
43.0,Brittany Martin,ruthward@example.net,,ADM,INGLÊS,1,TURMA FIXA,B1,26/09/2022,B1,01/09/2022,26/09/2022,"100,00%",8.32%,23.0,"100,00%",157.27%,168.0,"0,00%",0.00%,,"0,00%",174.04%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,200%,,"0,00%","100,00%","99,18%","81,53%",-,-,-,-,-,"90,35%",26/09/2022,,24/04/2023,19h 42m,27h 50m,47h 32m,1.182,1.67,2.852,41%,EN | EMB | ADM | INT13,Segundas e quartas às 18h,Noite,Awynner,Brasileiro,2.0,,,anthony30@example.org,EMBRAER,,,,,8.0,8,
130.0,Roy Bell,joseph10@example.net,,TI,INGLÊS,1,TURMA FLEXÍVEL,B1,27/09/2022,B2,01/09/2022,27/09/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"100,00%",59.01%,52.0,"100,00%",84.16%,146.0,"0,00%",0.00%,,"0,00%",0.00%,200%,,"100,00%","100,00%",-,-,-,"98,75%","95,17%",-,-,"96,96%",27/09/2022,,24/04/2023,78h 29m,23h 56m,102h 26m,4.709,1.436,6.145,77%,Turma flexível,FLEX,FLEX,FLEX,FLEX,15.0,,,vmiller@example.net,EMBRAER,,,,,,,
82.0,Dawn Simmons,daniel55@example.net,,ADM,INGLÊS,1,TURMA FLEXÍVEL,B1,26/09/2022,B2,01/09/2022,26/09/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"100,00%",58.47%,118.0,"96,00%",88.91%,,"0,00%",0.00%,,"0,00%",0.00%,196%,,"100,00%","100,00%",-,-,-,"99,58%","93,65%",-,-,"96,62%",26/09/2022,,25/04/2023,72h 28m,23h 34m,96h 03m,4.348,1.414,5.762,75%,Turma flexível,FLEX,FLEX,FLEX,FLEX,5.0,,,briannaflores@example.net,EMBRAER,,,,,,,
186.0,Monica Nicholson,thomastammy@example.com,,ADM,INGLÊS,2,TURMA FIXA,B2,15/12/2022,B2,01/12/2022,15/12/2022,"100,00%",0.00%,4.0,"100,00%",65.98%,20.0,"100,00%",72.99%,22.0,"23,00%",0.00%,,"57,00%",262.96%,,"0,00%",0.00%,,"0,00%",0.00%,380%,,,,"100,00%","97,78%","99,58%","100,00%","92,00%",-,-,"97,87%",15/12/2022,,25/04/2023,36h 02m,42h 59m,79h 01m,2.162,2.579,4.741,46%,EN | EMB2 | ADM | INT24,Terças e quintas às 10h,Manhã,Ricardo,Brasileiro,1.0,,,anthony91@example.net,EMBRAER,,,,,8.0,8,
326.0,Pam Hogan,bonniefleming@example.org,,ADM,ESPANHOL,2,TURMA FLEXÍVEL,A1,14/12/2022,A1,01/12/2022,14/12/2022,"1,00%",0.00%,,"100,00%",9.72%,61.0,"100,00%",9.72%,29.0,"51,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,252%,,,,-,"97,26%","97,21%","98,12%",-,-,-,"97,53%",14/12/2022,,25/04/2023,40h 46m,01h 33m,42h 19m,2.446,93.0,2.539,96%,Turma flexível,FLEX,FLEX,FLEX,FLEX,7.0,,,tonyjackson@example.com,EMBRAER,,,,,,,
35.0,Kristina Molina,wdodson@example.org,,ADM,INGLÊS,1,TURMA FIXA,A2,06/10/2022,A2,01/09/2022,06/10/2022,"100,00%",107.07%,99.0,"92,00%",0.00%,,"0,00%",218.12%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,192%,,"0,00%","100,00%","100,00%","94,58%",-,-,-,-,-,"97,29%",06/10/2022,,24/04/2023,20h 44m,34h 53m,55h 38m,1.244,2.093,3.337,37%,EN | EMB | ADM | BAS04,Terças e quintas às 08h,Manhã,Larissa,Brasileiro,2.0,,,gabriel60@example.org,EMBRAER,,,,,6.0,9,
212.0,Charles Wong,sheajacqueline@example.org,,TEC,INGLÊS,2,TURMA FIXA,B2,12/12/2022,B2,01/12/2022,12/12/2022,"100,00%",0.00%,2.0,"99,00%",0.00%,,"48,00%",0.00%,,"0,00%",0.00%,,"0,00%",152.67%,,"0,00%",0.00%,,"0,00%",0.00%,247%,,,,"100,00%","98,62%","100,00%",-,-,-,-,"99,54%",12/12/2022,,25/04/2023,36h 55m,25h 17m,62h 13m,2.215,1.517,3.732,59%,EN | EMB2 | TEC | INT29,Terças e quintas ás 20:30h,Noite,Gustavo,Brasileiro,1.0,,,kennethbush@example.org,EVE,,,,,8.0,10,"Achei o conteúdo bem elaborado, somente achei um pouco esquisito algumas atividades de ""listening"" onde parecia que a voz era daqueles programas de leitura e a fala era meio monotônica."
284.0,David Thompson,fwalsh@example.org,,ADM,INGLÊS,2,TURMA FIXA,A1,13/12/2022,A2,01/12/2022,13/12/2022,"100,00%",0.00%,20.0,"100,00%",88.71%,84.0,"12,00%",70.61%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,212%,,,,"98,34%","81,88%",-,-,-,-,-,"90,11%",13/12/2022,,26/04/2023,39h 30m,26h 26m,65h 56m,2.37,1.586,3.956,60%,EN | EMB2 | ADM | BAS07,Terças e quintas às 17h,Tarde,Marcela,Brasileiro,16.0,,,collierrandall@example.com,EMBRAER,,,,,10.0,10,
286.0,Julia Davis,michael16@example.org,,ADM,ESPANHOL,2,TURMA FLEXÍVEL,A1,19/12/2022,A1,01/12/2022,19/12/2022,"100,00%",6.46%,48.0,"82,00%",138.94%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,182%,,,,"100,00%","100,00%",-,-,-,-,-,"100,00%",19/12/2022,,25/04/2023,25h 56m,23h 45m,49h 41m,1.556,1.425,2.981,52%,Turma flexível,FLEX,FLEX,FLEX,FLEX,18.0,,,derrick07@example.org,EMBRAER,,,,,,,
292.0,Debbie Peters,george69@example.org,,ADM,INGLÊS,2,TURMA FIXA,A2,13/12/2022,A2,01/12/2022,13/12/2022,"100,00%",69.23%,63.0,"71,00%",0.00%,,"4,00%",171.38%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,175%,,,,"100,00%","100,00%",-,-,-,-,-,"100,00%",13/12/2022,,24/04/2023,27h 25m,27h 25m,54h 50m,1.645,1.645,3.29,50%,EN | EMB2 | ADM | BAS14,Segundas e quartas às 09h,Manhã,Paola,Brasileiro,1.0,,,christopher16@example.net,EMBRAER,,,,,9.0,10,
320.0,Angela Mann,wallspatricia@example.com,,ADM,INGLÊS,2,TURMA FLEXÍVEL,B1,13/12/2022,A1,01/12/2022,13/12/2022,"100,00%",1.00%,31.0,"72,00%",68.83%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,172%,,,,"100,00%","100,00%",-,-,-,-,-,"100,00%",13/12/2022,,20/04/2023,23h 42m,11h 10m,34h 53m,1.422,670.0,2.092,68%,Turma flexível,FLEX,FLEX,FLEX,FLEX,6.0,,,meyerlisa@example.org,EMBRAER,,,,,10.0,10,Excelente curso. Muito didático
390.0,Justin Richardson,megan27@example.net,,TEC,INGLÊS,3,TURMA FLEXÍVEL,B1,09/02/2023,B1,01/02/2023,09/02/2023,"100,00%",0.00%,41.0,"50,00%",0.00%,,"0,00%",0.00%,,"11,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,161%,,,,"100,00%","79,80%",-,-,-,-,-,"89,90%",09/02/2023,,25/04/2023,25h 21m,00h 00m,25h 21m,1.521,0.0,1.521,100%,Turma flexível,FLEX,FLEX,FLEX,FLEX,,,,qabbott@example.net,EMBRAER,,,,,10.0,10,Não
,Robert Ford,christiandonovan@example.com,,ADM,ESPANHOL,4,TURMA FLEXÍVEL,A2,19/04/2023,A2,01/04/2023,19/04/2023,"13,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,13%,,"13,00%","13,00%",,,,,,,,,19/04/2023,,26/04/2023,00h 56m,00h 00m,00h 56m,56.0,0.0,56.0,100%,TURMA FLEXÍVEL,FLEX,,,,,,,christina37@example.com,EMBRAER,,,,,,,
143.0,Marcus Perez,ggiles@example.org,,TI,INGLÊS,1,TURMA FLEXÍVEL,B1,26/09/2022,B1,01/09/2022,26/09/2022,"100,00%",15.09%,71.0,"85,00%",0.00%,,"0,00%",0.00%,,"0,00%",15.09%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,185%,,"0,00%","100,00%","97,14%","95,31%",-,-,-,-,-,"96,22%",26/09/2022,,26/04/2023,17h 26m,02h 24m,19h 51m,1.046,144.0,1.19,88%,Turma flexível,FLEX,FLEX,FLEX,FLEX,2.0,,,douglasrebecca@example.org,EMBRAER,,,,,8.0,8,
156.0,Krystal Hoffman,mitchellmary@example.com,,ADM,INGLÊS,1,TURMA FIXA,A2,13/10/2022,A2,01/09/2022,13/10/2022,"100,00%",13.13%,18.0,"83,00%",0.00%,,"0,00%",195.84%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,183%,,"0,00%","100,00%","99,60%","96,05%",-,-,-,-,-,"97,83%",13/10/2022,,24/04/2023,17h 32m,31h 20m,48h 52m,1.052,1.88,2.932,36%,EN | EMB | ADM | BAS06,Segundas e quartas às 18h,Noite,Ian,Brasileiro,2.0,,,mooreemily@example.org,EMBRAER,,,,,10.0,10,
25.0,Adrian Cooper,moralesmatthew@example.com,,TI,INGLÊS,1,TURMA FIXA,B1,26/09/2022,B1,01/09/2022,26/09/2022,"100,00%",3.26%,42.0,"71,00%",0.00%,,"0,00%",0.00%,,"1,00%",86.60%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,172%,,"1,00%","100,00%","97,66%","82,37%",-,-,-,-,-,"90,01%",26/09/2022,,24/04/2023,30h 04m,13h 51m,43h 55m,1.804,831.0,2.635,68%,EN | EMB3 | TI | INT35,Segundas e quartas às 8h,Manhã,Bruno,Brasileiro,2.0,,,chadsullivan@example.net,EMBRAER,,,,,8.0,9,
28.0,Elizabeth Baird,aguirregregory@example.com,,TI,INGLÊS,1,TURMA FIXA,A2,26/09/2022,A2,01/09/2022,26/09/2022,"100,00%",127.21%,154.0,"24,00%",0.00%,,"0,00%",174.52%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,124%,,"0,00%","100,00%","91,26%",-,-,-,-,-,-,"91,26%",26/09/2022,,25/04/2023,09h 46m,28h 36m,38h 23m,586.0,1.716,2.302,25%,EN | EMB | TI | BAS01,Terças e quintas às 08h,Manhã,Fábio,Brasileiro,4.0,,,bhumphrey@example.org,EMBRAER,,,,,10.0,9,
96.0,Adrian Brown,christinemcdonald@example.net,,TI,INGLÊS,1,TURMA FIXA,A2,26/09/2022,A2,01/09/2022,26/09/2022,"100,00%",0.00%,128.0,"17,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,117%,,"0,00%","100,00%","95,12%",-,-,-,-,-,-,"95,12%",26/09/2022,,05/04/2023,11h 36m,00h 00m,11h 36m,696.0,0.0,696.0,100%,EN | EMB | TI | BAS03,Terças e quintas às 18:30,Noite,Dani,Brasileiro,2.0,,,uroberts@example.net,EMBRAER,,,,,8.0,8,
277.0,Randall Johnson,reiddaniel@example.net,,ADM,INGLÊS,2,TURMA FIXA,B1,13/12/2022,B1,01/12/2022,13/12/2022,"100,00%",100.55%,95.0,"68,00%",0.00%,,"0,00%",0.00%,,"3,00%",144.99%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,171%,,,,"89,84%","74,58%",-,-,-,-,-,"82,21%",13/12/2022,,25/04/2023,20h 41m,23h 59m,44h 41m,1.241,1.439,2.68,46%,EN | EMB2 | ADM | INT21,Terças e quintas às 19h,Noite,Amanda,Brasileiro,5.0,,,william33@example.com,EMBRAER,,,,,8.0,8,
