Unnamed: 0,Num.,Nome completo,Área,Idioma de interesse,Modelo de aula,Resultado nivelamento,Leva,Primeiro Acesso,Último Acesso,A0,A0 AoV,A1,A1 AoV,A2,A2 AoV,B1,B1 AoV,B2,B2 AoV,C1,C1 AoV,C2,C2 AoV,tempo plataforma minutos,tempo AOV minutos,tempo total,total progresso,E-mail
0,186.0,Grant Morris,ADM,INGLÊS,TURMA FIXA,B2,2,15/12/2022,25/04/2023,"100,00%",0.00%,"100,00%",65.98%,"100,00%",72.99%,"23,00%",0.00%,"57,00%",262.96%,"0,00%",0.00%,"0,00%",0.00%,2.162,2.579,4.741,380%,jamiegibson@example.com
1,2.0,William Martin,TEC,FRANCÊS,TURMA FLEXÍVEL,A2,1,29/12/2022,22/04/2023,"100,00%",36.47%,"100,00%",41.27%,"100,00%",49.64%,"23,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,4.631,1.166,5.797,323%,bonilladavid@example.com
2,27.0,Amanda Moore,ADM,INGLÊS,TURMA FIXA,B1,1,26/09/2022,24/04/2023,"100,00%",0.00%,"98,00%",0.00%,"75,00%",0.00%,"47,00%",125.84%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,2.373,1.208,3.581,320%,whiteheidi@example.com
3,326.0,Dwayne Ramirez,ADM,ESPANHOL,TURMA FLEXÍVEL,A1,2,14/12/2022,25/04/2023,"1,00%",0.00%,"100,00%",9.72%,"100,00%",9.72%,"51,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,2.446,93.0,2.539,252%,jenniferlevine@example.com
4,212.0,Philip Holmes,TEC,INGLÊS,TURMA FIXA,B2,2,12/12/2022,25/04/2023,"100,00%",0.00%,"99,00%",0.00%,"48,00%",0.00%,"0,00%",0.00%,"0,00%",152.67%,"0,00%",0.00%,"0,00%",0.00%,2.215,1.517,3.732,247%,emma81@example.com
5,284.0,Michael Harvey,ADM,INGLÊS,TURMA FIXA,A1,2,13/12/2022,26/04/2023,"100,00%",0.00%,"100,00%",88.71%,"12,00%",70.61%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,2.37,1.586,3.956,212%,paulareed@example.net
6,403.0,Brittany Martin,TEC,INGLÊS,TURMA FIXA,A2,3,09/02/2023,25/04/2023,"100,00%",0.00%,"100,00%",58.75%,"10,00%",11.55%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,2.032,674.0,2.706,210%,anthony30@example.org
7,43.0,Roy Bell,ADM,INGLÊS,TURMA FIXA,B1,1,26/09/2022,24/04/2023,"100,00%",8.32%,"100,00%",157.27%,"0,00%",0.00%,"0,00%",174.04%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.182,1.67,2.852,200%,vmiller@example.net
8,130.0,Dawn Simmons,TI,INGLÊS,TURMA FLEXÍVEL,B1,1,27/09/2022,24/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"100,00%",59.01%,"100,00%",84.16%,"0,00%",0.00%,"0,00%",0.00%,4.709,1.436,6.145,200%,briannaflores@example.net
9,82.0,Monica Nicholson,ADM,INGLÊS,TURMA FLEXÍVEL,B1,1,26/09/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"100,00%",58.47%,"96,00%",88.91%,"0,00%",0.00%,"0,00%",0.00%,4.348,1.414,5.762,196%,anthony91@example.net
10,35.0,Pam Hogan,ADM,INGLÊS,TURMA FIXA,A2,1,06/10/2022,24/04/2023,"100,00%",107.07%,"92,00%",0.00%,"0,00%",218.12%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.244,2.093,3.337,192%,tonyjackson@example.com
11,143.0,Kristina Molina,TI,INGLÊS,TURMA FLEXÍVEL,B1,1,26/09/2022,26/04/2023,"100,00%",15.09%,"85,00%",0.00%,"0,00%",0.00%,"0,00%",15.09%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.046,144.0,1.19,185%,gabriel60@example.org
12,156.0,Charles Wong,ADM,INGLÊS,TURMA FIXA,A2,1,13/10/2022,24/04/2023,"100,00%",13.13%,"83,00%",0.00%,"0,00%",195.84%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.052,1.88,2.932,183%,kennethbush@example.org
13,286.0,David Thompson,ADM,ESPANHOL,TURMA FLEXÍVEL,A1,2,19/12/2022,25/04/2023,"100,00%",6.46%,"82,00%",138.94%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.556,1.425,2.981,182%,collierrandall@example.com
14,292.0,Julia Davis,ADM,INGLÊS,TURMA FIXA,A2,2,13/12/2022,24/04/2023,"100,00%",69.23%,"71,00%",0.00%,"4,00%",171.38%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.645,1.645,3.29,175%,derrick07@example.org
15,25.0,Debbie Peters,TI,INGLÊS,TURMA FIXA,B1,1,26/09/2022,24/04/2023,"100,00%",3.26%,"71,00%",0.00%,"0,00%",0.00%,"1,00%",86.60%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.804,831.0,2.635,172%,christopher16@example.net
16,320.0,Angela Mann,ADM,INGLÊS,TURMA FLEXÍVEL,B1,2,13/12/2022,20/04/2023,"100,00%",1.00%,"72,00%",68.83%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.422,670.0,2.092,172%,meyerlisa@example.org
17,277.0,Justin Richardson,ADM,INGLÊS,TURMA FIXA,B1,2,13/12/2022,25/04/2023,"100,00%",100.55%,"68,00%",0.00%,"0,00%",0.00%,"3,00%",144.99%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.241,1.439,2.68,171%,qabbott@example.net
18,295.0,Robert Ford,TEC,INGLÊS,TURMA FIXA,A2,2,13/12/2022,25/04/2023,"100,00%",12.05%,"67,00%",106.82%,"4,00%",119.42%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.459,1.146,2.605,171%,christina37@example.com
19,276.0,Marcus Perez,ADM,INGLÊS,TURMA FLEXÍVEL,B1,2,13/12/2022,19/04/2023,"70,00%",0.00%,"68,00%",0.00%,"1,00%",0.00%,"25,00%",25.57%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,2.079,245.0,2.324,164%,douglasrebecca@example.org
20,219.0,Krystal Hoffman,ADM,INGLÊS,TURMA FIXA,A2,2,13/12/2022,26/04/2023,"100,00%",118.78%,"62,00%",0.00%,"0,00%",273.93%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,962.0,2.629,3.591,162%,mooreemily@example.org
21,390.0,Adrian Cooper,TEC,INGLÊS,TURMA FLEXÍVEL,B1,3,09/02/2023,25/04/2023,"100,00%",0.00%,"50,00%",0.00%,"0,00%",0.00%,"11,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.521,0.0,1.521,161%,chadsullivan@example.net
22,350.0,Elizabeth Baird,TI,INGLÊS,TURMA FLEXÍVEL,B2,3,14/02/2023,17/04/2023,"100,00%",0.00%,"59,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,987.0,0.0,987.0,159%,bhumphrey@example.org
23,168.0,Adrian Brown,ADM,INGLÊS,TURMA FLEXÍVEL,B2,2,13/12/2022,21/04/2023,"100,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"54,00%",10.27%,"0,00%",0.00%,"0,00%",0.00%,1.482,98.0,1.58,154%,uroberts@example.net
24,282.0,Randall Johnson,ADM,INGLÊS,TURMA FIXA,A1,2,14/01/2023,25/04/2023,"100,00%",21.08%,"53,00%",89.77%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,2.095,1.138,3.233,153%,william33@example.com
25,229.0,Tammy Clark,ADM,INGLÊS,TURMA FIXA,A2,2,12/12/2022,25/04/2023,"100,00%",85.19%,"52,00%",0.00%,"0,00%",188.72%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,598.0,1.811,2.409,152%,ayalajohn@example.net
26,173.0,Jesus Howell,ADM,INGLÊS,TURMA FLEXÍVEL,A1,2,13/12/2022,25/04/2023,"100,00%",8.67%,"48,00%",11.52%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.296,193.0,1.489,148%,brennanveronica@example.org
27,243.0,Gregory Cook,TEC,INGLÊS,TURMA FIXA,A2,2,12/12/2022,25/04/2023,"100,00%",148.18%,"36,00%",0.00%,"0,00%",0.00%,"11,00%",148.18%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.264,1.422,2.686,147%,harrisjeremy@example.net
28,224.0,Christina Cardenas,TEC,INGLÊS,TURMA FLEXÍVEL,B2,2,12/12/2022,24/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"100,00%",117.32%,"45,00%",46.14%,"0,00%",0.00%,"0,00%",0.00%,3.431,1.595,5.026,145%,nathanreyes@example.org
